brand,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
volkswagen,diesel,manuell,150000,passat,1000,101,2005
citroen,benzin,manuell,150000,andere,1000,60,2005
bmw,benzin,manuell,100000,3er,9000,143,1980
peugeot,benzin,automatik,125000,2_reihe,1500,75,2005
renault,benzin,manuell,150000,megane,1000,75,2000
land_rover,diesel,manuell,150000,defender,10000,113,2000
mercedes_benz,diesel,manuell,150000,andere,3000,72,1985
mercedes_benz,benzin,manuell,125000,andere,9000,156,1985
bmw,benzin,automatik,125000,3er,13000,170,2011
bmw,diesel,automatik,150000,3er,15000,184,2012
mercedes_benz,benzin,manuell,150000,andere,8000,163,2005
honda,benzin,manuell,150000,civic,3500,90,2005
mercedes_benz,diesel,manuell,150000,a_klasse,3000,82,2005
peugeot,diesel,manuell,125000,andere,1000,101,2005
bmw,diesel,automatik,150000,7er,10000,231,2007
audi,diesel,automatik,150000,a6,13000,245,2012
mercedes_benz,benzin,manuell,150000,c_klasse,4000,143,2005
volkswagen,lpg,manuell,150000,passat,2000,150,2000
volkswagen,benzin,manuell,150000,golf,6000,160,2009
ford,benzin,manuell,70000,focus,7000,101,2008
toyota,benzin,manuell,150000,aygo,1500,68,2006
smart,benzin,automatik,50000,forfour,10000,90,2015
volkswagen,benzin,manuell,150000,lupo,1000,75,2000
volkswagen,diesel,automatik,40000,transporter,50000,204,2015
fiat,benzin,manuell,150000,punto,500,60,2005
audi,diesel,manuell,90000,a6,25000,204,2011
volkswagen,benzin,manuell,150000,golf,13000,235,2011
volkswagen,diesel,manuell,150000,passat,3500,140,2007
audi,diesel,manuell,150000,a3,4000,140,2005
volkswagen,benzin,manuell,60000,golf,1500,75,2000
seat,benzin,manuell,150000,ibiza,3500,86,2009
audi,benzin,manuell,10000,a1,17500,95,2015
fiat,benzin,manuell,60000,andere,7000,29,1970
porsche,diesel,automatik,150000,cayenne,25000,239,2010
volkswagen,benzin,manuell,30000,golf,9000,54,1990
mercedes_benz,benzin,manuell,150000,andere,2500,136,2000
volkswagen,benzin,manuell,150000,polo,1000,60,2000
renault,benzin,manuell,70000,andere,17500,50,1980
bmw,diesel,manuell,150000,1er,4500,177,2009
mercedes_benz,diesel,manuell,60000,s_klasse,25000,80,1980
bmw,benzin,automatik,5000,z_reihe,250,340,2015
ford,benzin,manuell,50000,fiesta,9000,82,2015
bmw,benzin,automatik,150000,3er,4000,150,2005
opel,benzin,manuell,100000,astra,4500,90,2005
audi,diesel,automatik,150000,a6,2500,232,2006
opel,benzin,manuell,150000,zafira,2000,116,2005
renault,benzin,manuell,40000,clio,2000,58,2008
bmw,diesel,automatik,150000,3er,9000,163,2010
peugeot,diesel,automatik,60000,3_reihe,13000,120,2015
renault,benzin,manuell,80000,twingo,4000,75,2009
