brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
ford,,,,,150000,focus,2500,,2009
volkswagen,kleinwagen,blau,benzin,manuell,150000,polo,500,50,2000
volkswagen,kleinwagen,silber,benzin,manuell,150000,polo,1000,55,2006
sonstige_autos,,,,,5000,,,,1960
citroen,bus,silber,diesel,manuell,150000,andere,2000,90,2006
opel,limousine,schwarz,benzin,manuell,150000,corsa,1000,144,2005
ford,kombi,,benzin,manuell,100000,focus,4000,115,2006
renault,kombi,schwarz,diesel,manuell,150000,laguna,3000,150,2008
volkswagen,,andere,benzin,manuell,125000,beetle,2500,116,2005
opel,coupe,schwarz,diesel,manuell,150000,astra,,120,2006
audi,kombi,schwarz,benzin,automatik,150000,a4,1500,200,2005
volkswagen,,gruen,benzin,manuell,150000,golf,500,75,2000
mini,kleinwagen,,benzin,manuell,150000,cooper,4000,116,2005
opel,limousine,blau,benzin,manuell,150000,astra,1500,101,2005
volkswagen,bus,,diesel,manuell,150000,transporter,12000,131,2011
daewoo,limousine,gold,lpg,manuell,150000,evanda,1000,131,2005
opel,kleinwagen,,,,150000,andere,1000,90,2000
daewoo,kleinwagen,schwarz,benzin,manuell,125000,matiz,250,64,2005
skoda,kombi,silber,diesel,manuell,150000,octavia,3000,105,2008
peugeot,kleinwagen,gruen,benzin,manuell,150000,2_reihe,1000,75,2000
volkswagen,limousine,schwarz,benzin,manuell,150000,golf,4500,102,2006
volkswagen,,,,,150000,golf,1500,,2000
bmw,kombi,schwarz,benzin,manuell,150000,3er,6000,129,2006
bmw,limousine,grau,benzin,automatik,30000,1er,25000,184,2015
mercedes_benz,coupe,weiss,benzin,manuell,150000,andere,,177,1980
seat,kleinwagen,,benzin,manuell,80000,mii,6000,60,2013
nissan,kleinwagen,silber,benzin,manuell,150000,micra,3000,65,2009
renault,bus,silber,benzin,manuell,150000,scenic,1000,135,2005
volkswagen,bus,silber,diesel,manuell,150000,transporter,7000,140,2007
bmw,kleinwagen,schwarz,diesel,manuell,150000,1er,5000,177,2007
volkswagen,,schwarz,diesel,manuell,150000,sharan,8000,150,2006
mini,kleinwagen,grau,benzin,manuell,150000,clubman,8000,174,2008
honda,kleinwagen,,benzin,manuell,150000,jazz,1500,83,2005
bmw,limousine,schwarz,benzin,automatik,5000,m_reihe,90000,625,2015
volkswagen,,schwarz,benzin,manuell,150000,golf,6000,174,2000
volkswagen,kombi,schwarz,benzin,manuell,150000,passat,2000,125,2000
opel,cabrio,silber,benzin,manuell,150000,astra,3000,78,2005
audi,,silber,benzin,manuell,80000,a3,,179,2000
chrysler,coupe,rot,benzin,manuell,150000,andere,2000,180,1990
volkswagen,kombi,silber,diesel,automatik,150000,passat,6000,140,2010
ford,,grau,benzin,manuell,90000,fiesta,5000,82,2012
citroen,kombi,grau,diesel,manuell,60000,berlingo,10000,99,2015
kia,suv,weiss,benzin,manuell,150000,sportage,10000,135,2014
sonstige_autos,kleinwagen,rot,benzin,manuell,150000,,500,,2000
mazda,kleinwagen,rot,benzin,manuell,80000,2_reihe,4000,75,2009
nissan,limousine,silber,benzin,,125000,skyline,22500,280,2000
bmw,limousine,schwarz,benzin,manuell,150000,3er,8000,129,2006
bmw,cabrio,schwarz,benzin,automatik,150000,3er,11000,218,2007
volkswagen,kombi,blau,diesel,manuell,125000,passat,12000,140,2013
mercedes_benz,limousine,silber,benzin,manuell,150000,andere,2500,136,2000
renault,andere,,benzin,manuell,125000,scenic,3000,138,2000
bmw,limousine,grau,benzin,automatik,30000,1er,25000,184,2015
bmw,limousine,schwarz,benzin,manuell,150000,3er,2000,102,2000
bmw,kombi,schwarz,diesel,automatik,150000,5er,8000,197,2008
opel,,,,,150000,vectra,,,1995
renault,kleinwagen,weiss,benzin,manuell,125000,twingo,50,54,2000
ford,,blau,benzin,manuell,150000,focus,1000,101,2005
sonstige_autos,,,,,5000,,100,,2005
renault,limousine,gruen,benzin,manuell,150000,megane,1000,75,2000
volkswagen,bus,blau,benzin,manuell,150000,caddy,2000,,2005
volkswagen,bus,blau,benzin,automatik,150000,transporter,3500,145,1995
renault,,,,,150000,clio,2500,,2005
toyota,kleinwagen,blau,benzin,manuell,150000,yaris,3000,69,2006
ford,kleinwagen,silber,benzin,manuell,150000,fusion,3000,80,2005
volkswagen,limousine,schwarz,benzin,manuell,150000,golf,250,75,2000
mercedes_benz,kombi,andere,diesel,automatik,150000,e_klasse,4000,177,2005
ford,limousine,silber,benzin,manuell,125000,mondeo,2500,130,2005
volkswagen,coupe,schwarz,benzin,manuell,60000,scirocco,15000,122,2014
volkswagen,limousine,silber,benzin,manuell,150000,bora,2000,101,2000
audi,kombi,,,manuell,150000,a4,500,,2000
bmw,cabrio,schwarz,diesel,automatik,90000,6er,35000,313,2013
bmw,,,,,150000,3er,250,,2000
renault,kombi,rot,benzin,manuell,150000,laguna,2000,116,2005
smart,coupe,silber,benzin,manuell,70000,fortwo,3500,,2008
porsche,cabrio,schwarz,benzin,manuell,125000,andere,12000,235,2005
mercedes_benz,limousine,blau,benzin,manuell,150000,andere,11000,160,1995
audi,kombi,schwarz,benzin,automatik,150000,a4,4000,255,2005
mercedes_benz,cabrio,schwarz,benzin,manuell,150000,slk,3000,193,2000
audi,limousine,gruen,benzin,manuell,150000,a4,1000,,2000
mercedes_benz,suv,silber,benzin,automatik,150000,m_klasse,2000,218,2005
volkswagen,kombi,schwarz,benzin,manuell,150000,bora,1500,115,2005
audi,kombi,weiss,diesel,manuell,125000,a4,17500,177,2014
peugeot,kleinwagen,rot,benzin,manuell,150000,andere,,60,2005
citroen,limousine,blau,benzin,manuell,150000,andere,15000,166,1985
sonstige_autos,limousine,blau,benzin,automatik,150000,,,170,2005
ford,kleinwagen,,benzin,manuell,90000,ka,4500,69,2013
ford,cabrio,schwarz,benzin,manuell,60000,escort,,131,1995
mercedes_benz,suv,blau,benzin,automatik,100000,g_klasse,30000,125,1990
volkswagen,coupe,weiss,benzin,,150000,scirocco,11000,200,2009
audi,kleinwagen,blau,benzin,manuell,150000,a3,3000,70,2005
ford,bus,blau,benzin,manuell,150000,galaxy,2500,146,2000
audi,kombi,weiss,benzin,manuell,150000,a4,7000,160,2008
renault,limousine,grau,benzin,manuell,70000,laguna,5000,110,2009
volkswagen,limousine,grau,diesel,manuell,70000,golf,14000,150,2015
mini,cabrio,,benzin,manuell,150000,cooper,4500,170,2005
opel,limousine,blau,diesel,manuell,150000,corsa,3000,75,2008
bmw,kombi,blau,diesel,manuell,150000,3er,2000,150,2005
sonstige_autos,,,,,150000,,,,2005
volkswagen,limousine,gruen,benzin,manuell,125000,golf,500,66,2000
opel,limousine,grau,benzin,automatik,150000,vectra,1500,125,2005
mazda,cabrio,rot,benzin,manuell,5000,mx_reihe,40000,184,2015
bmw,limousine,silber,benzin,manuell,150000,3er,4500,129,2006
mercedes_benz,limousine,blau,benzin,automatik,100000,c_klasse,6000,170,2005
seat,kleinwagen,weiss,benzin,manuell,80000,ibiza,8000,86,2013
bmw,coupe,gruen,benzin,manuell,150000,3er,2500,102,1995
audi,kombi,schwarz,diesel,automatik,150000,a6,2000,179,2005
bmw,limousine,,benzin,automatik,150000,3er,3000,,2005
peugeot,cabrio,gruen,benzin,manuell,125000,2_reihe,1500,136,2005
volkswagen,kombi,blau,diesel,manuell,150000,passat,8000,170,2009
mercedes_benz,limousine,,benzin,manuell,30000,a_klasse,20000,122,2015
volkswagen,limousine,blau,diesel,manuell,70000,golf,9000,105,2010
opel,kleinwagen,weiss,benzin,manuell,150000,corsa,3500,80,2009
bmw,limousine,blau,benzin,manuell,150000,3er,1500,118,2005
opel,limousine,schwarz,diesel,manuell,40000,astra,13000,110,2015
suzuki,andere,grau,diesel,manuell,150000,vitara,10000,,2012
volkswagen,bus,rot,diesel,manuell,150000,transporter,2000,70,1990
renault,,,benzin,manuell,150000,twingo,250,,2000
skoda,kombi,grau,diesel,manuell,150000,fabia,3000,80,2008
opel,cabrio,gelb,benzin,manuell,150000,tigra,3000,125,2005
hyundai,suv,silber,diesel,manuell,150000,ix_reihe,8000,116,2011
volkswagen,bus,blau,diesel,manuell,150000,andere,1000,128,2005
toyota,suv,braun,benzin,manuell,80000,rav,17500,152,2013
volkswagen,limousine,grau,diesel,automatik,50000,golf,25000,150,2015
volkswagen,bus,silber,diesel,manuell,150000,golf,2000,116,2005
bmw,limousine,schwarz,benzin,manuell,150000,3er,25000,306,2013
volkswagen,suv,grau,diesel,automatik,150000,tiguan,13000,140,2012
volkswagen,cabrio,,,,50000,kaefer,30000,,1960
renault,,,benzin,,150000,espace,,,2006
porsche,limousine,grau,benzin,automatik,150000,andere,30000,500,2010
volkswagen,bus,weiss,diesel,manuell,150000,transporter,7000,102,2000
nissan,kleinwagen,weiss,benzin,manuell,60000,micra,5000,80,2012
mazda,limousine,,benzin,manuell,150000,3_reihe,1500,,1995
renault,kleinwagen,andere,benzin,automatik,150000,twingo,2000,60,2000
seat,limousine,weiss,benzin,manuell,40000,leon,17500,125,2015
audi,kombi,schwarz,diesel,manuell,150000,a4,1500,163,2005
bmw,,,benzin,,150000,5er,1000,,1990
mercedes_benz,coupe,schwarz,diesel,automatik,150000,cls,25000,204,2012
bmw,kombi,blau,diesel,manuell,150000,3er,4000,177,2007
porsche,cabrio,grau,benzin,manuell,80000,andere,9000,125,1980
bmw,kombi,silber,diesel,manuell,150000,3er,2000,150,2005
opel,limousine,silber,benzin,manuell,150000,astra,1000,101,2000
mercedes_benz,limousine,silber,benzin,manuell,125000,andere,9000,156,1985
ford,cabrio,gelb,benzin,automatik,90000,andere,45000,345,1970
renault,kleinwagen,schwarz,benzin,manuell,150000,clio,5000,128,2009
fiat,kleinwagen,orange,benzin,manuell,60000,punto,9000,105,2014
audi,kombi,gruen,diesel,automatik,150000,andere,9000,232,2008
ford,limousine,gruen,benzin,manuell,50000,focus,40000,305,2010
renault,andere,silber,benzin,manuell,150000,kangoo,3000,90,2005
audi,coupe,grau,benzin,manuell,150000,a3,3000,,2005
volkswagen,bus,silber,diesel,manuell,150000,transporter,6000,130,2005
volkswagen,kombi,beige,diesel,manuell,150000,golf,4000,55,1990
fiat,cabrio,gruen,benzin,manuell,60000,500,10000,105,2014
volkswagen,kombi,gruen,benzin,manuell,150000,passat,1000,150,2000
ford,kleinwagen,weiss,benzin,manuell,125000,fiesta,4000,82,2011
audi,cabrio,silber,benzin,automatik,125000,a4,6000,170,2005
fiat,,,,,150000,500,250,,2000
bmw,kombi,schwarz,diesel,manuell,150000,3er,5000,150,2005
