brand,car_type,color,mileage,model,price,ps,year_of_registration
mercedes_benz,cabrio,schwarz,80000,slk,35000,360,2010
sonstige_autos,kleinwagen,,5000,,250,,2000
opel,kombi,silber,150000,insignia,8000,160,2011
fiat,limousine,silber,150000,punto,1000,60,2005
renault,kleinwagen,grau,100000,clio,1500,55,2005
mercedes_benz,kombi,silber,150000,c_klasse,6000,170,2008
mercedes_benz,,silber,150000,clk,,,2000
bmw,kombi,schwarz,150000,3er,8000,177,2010
mercedes_benz,limousine,blau,150000,cl,6000,299,2005
bmw,limousine,silber,80000,3er,4000,105,2000
volkswagen,limousine,schwarz,150000,passat,4000,140,2007
sonstige_autos,suv,weiss,70000,,10000,210,1990
skoda,kombi,blau,150000,fabia,1000,75,2005
opel,,silber,5000,andere,2500,125,2005
audi,limousine,silber,150000,a4,10000,141,2011
volkswagen,kombi,blau,150000,golf,1000,50,2000
sonstige_autos,coupe,gruen,5000,,35000,38,1970
mitsubishi,suv,blau,150000,l_reihe,2500,116,2005
mercedes_benz,cabrio,schwarz,80000,clk,9000,177,2005
renault,kleinwagen,blau,150000,clio,1500,75,2005
bmw,kombi,schwarz,150000,3er,,170,2000
audi,coupe,schwarz,80000,andere,55000,326,2015
volkswagen,kleinwagen,grau,125000,golf,6000,80,2006
mercedes_benz,coupe,silber,150000,clk,4500,140,2000
bmw,limousine,weiss,150000,1er,12000,136,2015
renault,coupe,blau,150000,clio,1000,75,2005
mazda,limousine,grau,60000,3_reihe,11000,120,2015
renault,kleinwagen,weiss,90000,clio,3000,58,2010
bmw,limousine,blau,150000,5er,1500,170,2000
toyota,bus,weiss,150000,andere,9000,99,2015
fiat,bus,weiss,150000,doblo,4500,,2010
volkswagen,limousine,gruen,150000,golf,2000,75,2005
audi,kombi,blau,150000,a4,2000,150,2000
audi,kleinwagen,silber,125000,a2,4000,75,2005
mercedes_benz,,,100000,andere,55000,,2014
sonstige_autos,limousine,silber,100000,,4500,,1970
seat,kleinwagen,weiss,90000,mii,9000,75,2014
mercedes_benz,limousine,silber,150000,c_klasse,5000,224,2005
volkswagen,limousine,grau,90000,golf,10000,122,2012
mercedes_benz,kombi,weiss,150000,e_klasse,20000,265,2012
volkswagen,kleinwagen,schwarz,150000,polo,5000,105,2008
bmw,suv,schwarz,150000,x_reihe,,235,2007
volkswagen,limousine,,150000,golf,4000,150,2005
opel,limousine,schwarz,150000,vectra,2000,147,2005
opel,limousine,,150000,insignia,4500,160,2011
mitsubishi,suv,silber,100000,asx,9000,150,2011
audi,coupe,silber,150000,tt,11000,200,2008
renault,bus,silber,150000,scenic,2000,105,2005
chevrolet,kleinwagen,blau,5000,matiz,2500,67,2007
smart,kleinwagen,schwarz,150000,fortwo,1000,,2000
ford,bus,,150000,galaxy,2500,,2005
mercedes_benz,limousine,silber,150000,a_klasse,2000,102,2000
bmw,,,150000,3er,,,2005
suzuki,kleinwagen,weiss,30000,swift,12000,136,2015
sonstige_autos,limousine,blau,30000,,7000,45,1980
smart,kleinwagen,schwarz,50000,fortwo,5000,71,2010
renault,kleinwagen,blau,90000,twingo,1500,58,2005
skoda,kleinwagen,,150000,fabia,1500,74,2005
volkswagen,kleinwagen,schwarz,150000,fox,1500,54,2006
bmw,kombi,,150000,3er,2000,143,2005
audi,limousine,silber,150000,80,4000,71,1995
trabant,,,5000,601,50,,1980
audi,kombi,schwarz,150000,a3,9000,125,2011
audi,limousine,schwarz,150000,a3,4000,140,2006
opel,kombi,,150000,insignia,6000,131,2011
bmw,kombi,blau,150000,5er,10000,235,2007
mercedes_benz,limousine,silber,90000,a_klasse,5000,95,2009
mercedes_benz,limousine,schwarz,30000,c_klasse,40000,245,2015
toyota,kombi,silber,150000,corolla,2000,110,2005
sonstige_autos,suv,schwarz,150000,,9000,223,2006
ford,bus,weiss,30000,transit,22500,131,2015
honda,suv,weiss,150000,cr_reihe,9000,150,2008
kia,limousine,,100000,ceed,4500,109,2008
opel,kleinwagen,gelb,150000,corsa,3000,80,2008
opel,limousine,grau,90000,corsa,2500,90,2005
volkswagen,kombi,schwarz,150000,passat,2500,150,2005
volkswagen,limousine,blau,150000,touran,5000,116,2005
seat,limousine,weiss,60000,leon,22500,280,2015
toyota,,silber,150000,verso,6000,,2006
kia,kleinwagen,weiss,90000,picanto,6000,86,2014
bmw,limousine,grau,150000,3er,7000,197,2008
bmw,limousine,schwarz,150000,3er,10000,143,2009
audi,limousine,,150000,a6,11000,177,2012
peugeot,bus,gruen,150000,2_reihe,13000,150,2015
hyundai,suv,schwarz,100000,ix_reihe,11000,163,2011
mercedes_benz,bus,schwarz,60000,b_klasse,20000,184,2014
bmw,cabrio,schwarz,90000,3er,25000,360,2007
citroen,bus,schwarz,150000,berlingo,1000,69,2000
suzuki,suv,schwarz,90000,andere,2500,83,2005
honda,suv,grau,150000,cr_reihe,4000,140,2006
bmw,limousine,schwarz,150000,5er,25000,313,2011
opel,limousine,silber,125000,astra,1500,84,2005
volkswagen,limousine,silber,150000,bora,1000,150,2000
bmw,limousine,silber,150000,3er,3000,170,2005
volkswagen,suv,blau,150000,touareg,7000,239,2008
mitsubishi,limousine,gruen,150000,carisma,1000,90,2000
peugeot,kleinwagen,weiss,150000,2_reihe,1000,60,2005
volkswagen,,,125000,andere,4500,115,2006
ford,bus,weiss,150000,transit,3500,75,2008
volkswagen,cabrio,blau,150000,golf,4000,98,1995
peugeot,kombi,grau,50000,3_reihe,17500,205,2015
mercedes_benz,kombi,rot,150000,c_klasse,1500,122,2000
hyundai,kleinwagen,schwarz,70000,i_reihe,5000,77,2012
audi,kombi,silber,150000,a4,1500,180,2005
peugeot,limousine,braun,125000,4_reihe,3500,140,2007
mercedes_benz,suv,schwarz,150000,m_klasse,15000,204,2012
porsche,cabrio,schwarz,150000,andere,20000,228,2005
mercedes_benz,bus,weiss,100000,sprinter,15000,,2014
fiat,kleinwagen,schwarz,150000,stilo,1000,,2005
mercedes_benz,coupe,blau,100000,clc,9000,129,2010
volkswagen,limousine,schwarz,150000,golf,6000,80,2010
ford,,blau,5000,fiesta,2000,,2008
seat,kleinwagen,grau,30000,ibiza,17500,192,2015
volkswagen,,blau,150000,polo,500,,2005
alfa_romeo,limousine,,150000,147,2000,150,2005
volvo,kombi,silber,150000,v40,1000,116,2005
mini,kleinwagen,schwarz,50000,cooper,20000,,1985
mercedes_benz,limousine,blau,125000,e_klasse,25000,231,2013
sonstige_autos,cabrio,rot,150000,,,,1980
mercedes_benz,kombi,grau,150000,c_klasse,17500,204,2011
jeep,suv,schwarz,150000,grand,20000,426,2006
audi,limousine,schwarz,150000,a3,1000,101,2000
opel,limousine,grau,125000,astra,3000,105,2005
ford,limousine,rot,150000,fusion,1000,80,2005
toyota,bus,silber,150000,verso,5000,177,2010
bmw,,,5000,5er,250,,2012
smart,kleinwagen,schwarz,150000,fortwo,500,35,2005
hyundai,kleinwagen,schwarz,5000,i_reihe,14000,101,2015
audi,kombi,gruen,150000,80,1500,116,1995
opel,kleinwagen,silber,125000,corsa,2000,80,2005
volkswagen,limousine,schwarz,60000,golf,4000,174,1995
renault,,grau,150000,clio,2500,88,2006
citroen,andere,gold,60000,andere,55000,50,1980
skoda,limousine,schwarz,50000,superb,25000,150,2015
bmw,suv,schwarz,30000,x_reihe,27500,140,2015
audi,cabrio,blau,10000,a3,35000,190,2015
audi,limousine,schwarz,20000,a4,35000,150,2015
audi,limousine,grau,20000,andere,60000,400,2015
skoda,kombi,grau,100000,superb,20000,150,2015
audi,kombi,silber,20000,a3,27500,150,2015
bmw,limousine,schwarz,150000,5er,25000,258,2015
audi,cabrio,gelb,10000,a3,35000,150,2015
bmw,suv,schwarz,20000,x_reihe,27500,140,2015
bmw,limousine,schwarz,60000,5er,20000,184,2014
audi,cabrio,grau,30000,a5,40000,190,2015
audi,cabrio,weiss,30000,a5,45000,252,2015
volkswagen,,,150000,golf,,,1980
mercedes_benz,kleinwagen,schwarz,150000,a_klasse,27500,360,2015
skoda,kombi,schwarz,20000,octavia,22500,150,2015
mercedes_benz,cabrio,silber,20000,slk,30000,204,2015
volkswagen,kombi,schwarz,50000,passat,27500,220,2015
volkswagen,suv,schwarz,70000,tiguan,20000,140,2015
bmw,suv,schwarz,30000,x_reihe,27500,140,2015
volkswagen,kombi,schwarz,70000,passat,25000,239,2015
mercedes_benz,suv,schwarz,125000,andere,40000,258,2015
mercedes_benz,cabrio,schwarz,30000,e_klasse,35000,211,2015
toyota,kombi,schwarz,90000,auris,17500,136,2015
bmw,limousine,grau,70000,3er,20000,184,2013
volkswagen,bus,grau,60000,touran,17500,140,2015
bmw,cabrio,silber,125000,2er,25000,224,2015
toyota,kombi,schwarz,90000,auris,17500,136,2015
mercedes_benz,limousine,silber,125000,e_klasse,13000,184,2008
porsche,coupe,schwarz,50000,andere,90000,450,2015
audi,cabrio,rot,40000,a3,25000,125,2015
citroen,kombi,schwarz,125000,c5,9000,204,2012
volkswagen,kombi,grau,30000,golf,17500,110,2015
audi,kombi,grau,80000,a6,35000,313,2014
volkswagen,limousine,rot,20000,golf,20000,125,2015
volkswagen,bus,silber,40000,transporter,30000,140,2015
hyundai,suv,schwarz,20000,andere,25000,150,2015
bmw,coupe,rot,50000,2er,20000,184,2014
audi,limousine,schwarz,80000,a5,27500,218,2015
bmw,limousine,schwarz,70000,5er,30000,313,2014
volvo,suv,grau,90000,xc_reihe,25000,190,2015
mazda,limousine,rot,100000,6_reihe,17500,175,2014
bmw,bus,silber,60000,2er,15000,150,2014
bmw,limousine,silber,150000,5er,2500,150,1995
bmw,limousine,gruen,150000,5er,7000,231,2005
peugeot,kombi,weiss,125000,andere,6000,120,2010
ford,kleinwagen,grau,150000,fiesta,2500,80,2006
ford,kombi,blau,150000,mondeo,1500,140,2007
opel,kombi,silber,150000,astra,5000,110,2011
lexus,limousine,schwarz,150000,andere,5000,177,2007
volkswagen,kombi,silber,5000,passat,3500,131,2005
mercedes_benz,kleinwagen,grau,30000,andere,3500,163,2015
mercedes_benz,bus,weiss,5000,sprinter,13000,,2014
opel,kleinwagen,blau,150000,corsa,2000,58,2005
bmw,limousine,silber,150000,3er,3000,170,2005
audi,kleinwagen,schwarz,125000,a1,11000,143,2014
renault,bus,silber,150000,modus,1500,65,2006
renault,suv,schwarz,20000,andere,14000,90,2015
mini,cabrio,schwarz,150000,cooper,9000,170,2007
volkswagen,cabrio,blau,150000,eos,7000,140,2008
opel,,,150000,omega,1000,,1990
mercedes_benz,kleinwagen,schwarz,150000,a_klasse,3500,100,2006
mercedes_benz,kombi,blau,150000,e_klasse,1000,279,2000
renault,cabrio,gruen,150000,megane,1500,90,2005
volkswagen,limousine,schwarz,150000,golf,4500,105,2009
opel,kleinwagen,,100000,corsa,5000,87,2012
renault,bus,schwarz,150000,espace,7000,173,2009
ford,kleinwagen,blau,150000,fiesta,2000,60,2005
opel,kombi,grau,150000,vectra,3000,155,2005
volkswagen,,,70000,golf,11000,105,2014
opel,kleinwagen,braun,125000,corsa,500,75,2005
volkswagen,limousine,,70000,golf,11000,105,2014
mercedes_benz,limousine,schwarz,90000,c_klasse,17500,177,2014
mercedes_benz,bus,blau,150000,b_klasse,3000,109,2005
citroen,kleinwagen,weiss,70000,andere,1000,60,1995
peugeot,cabrio,,150000,2_reihe,1500,136,2005
volkswagen,bus,grau,60000,touran,25000,150,2015
volkswagen,kleinwagen,weiss,60000,up,6000,60,2012
opel,kombi,,20000,tigra,2500,125,2005
volkswagen,kombi,blau,150000,passat,3000,116,2007
ford,bus,schwarz,150000,andere,4000,116,2011
audi,limousine,rot,150000,a4,,101,1995
volkswagen,kleinwagen,silber,150000,golf,2000,75,2000
nissan,kleinwagen,,100000,micra,2500,,2000
ford,,silber,150000,galaxy,2500,131,2005
audi,,,150000,a3,,102,2005
chrysler,limousine,grau,150000,andere,2000,254,2000
audi,kombi,silber,125000,a3,12000,150,2014
daewoo,kleinwagen,silber,125000,andere,1000,60,2005
volkswagen,limousine,silber,150000,passat,1500,116,2005
porsche,coupe,weiss,10000,andere,90000,450,2015
mercedes_benz,kleinwagen,blau,50000,a_klasse,3500,102,2005
seat,limousine,,150000,altea,2500,140,2005
mercedes_benz,limousine,blau,150000,andere,2000,129,2005
alfa_romeo,,rot,125000,andere,10000,250,2005
ford,,schwarz,150000,fiesta,3000,80,2006
opel,kombi,blau,150000,astra,5000,116,2009
sonstige_autos,bus,weiss,150000,,5000,116,2007
volkswagen,limousine,rot,150000,golf,13000,184,2013
ford,kleinwagen,grau,150000,fusion,1000,68,2006
audi,kombi,schwarz,150000,a6,4500,232,2007
bmw,kombi,schwarz,150000,3er,8000,177,2009
ford,kombi,silber,150000,focus,3000,109,2011
volkswagen,limousine,schwarz,150000,golf,1000,90,2000
mercedes_benz,andere,,125000,sprinter,7000,150,2007
renault,andere,weiss,150000,kangoo,2000,65,2005
bmw,limousine,schwarz,150000,1er,5000,143,2010
hyundai,limousine,silber,30000,i_reihe,12000,90,2015
mercedes_benz,coupe,schwarz,150000,cls,25000,204,2012
bmw,limousine,schwarz,90000,1er,6000,129,2009
ford,bus,gruen,150000,galaxy,1000,145,2000
peugeot,cabrio,grau,150000,2_reihe,3500,160,2007
bmw,limousine,blau,150000,5er,1500,170,2000
audi,limousine,schwarz,125000,a4,22500,190,2014
ford,limousine,silber,100000,mondeo,1000,131,2000
opel,kombi,grau,150000,astra,1500,120,2006
sonstige_autos,kombi,schwarz,125000,,10000,295,2008
mercedes_benz,,,150000,a_klasse,2000,120,2005
mitsubishi,bus,silber,125000,space_reihe,3000,82,2005
bmw,kombi,grau,125000,3er,13000,184,2010
volkswagen,limousine,silber,150000,golf,3000,101,2000
audi,coupe,,150000,a5,13000,190,2009
volkswagen,bus,weiss,100000,transporter,13000,136,2015
volkswagen,kleinwagen,blau,150000,golf,2000,101,2000
bmw,limousine,silber,150000,5er,6000,177,2006
ford,limousine,gruen,150000,focus,1500,116,2000
skoda,suv,grau,50000,yeti,14000,110,2015
audi,kombi,grau,50000,a3,14000,125,2013
skoda,limousine,weiss,60000,superb,12000,125,2013
suzuki,suv,schwarz,125000,andere,6000,120,2011
seat,limousine,schwarz,70000,leon,17500,150,2015
seat,bus,silber,40000,altea,10000,125,2014
mercedes_benz,limousine,schwarz,150000,e_klasse,7000,184,2006
sonstige_autos,kleinwagen,,125000,,3500,,2010
opel,bus,schwarz,150000,zafira,1000,101,2005
mercedes_benz,kombi,,150000,andere,,,2005
mercedes_benz,kombi,silber,150000,c_klasse,7000,170,2008
renault,kleinwagen,weiss,150000,twingo,1500,58,2005
skoda,kombi,schwarz,150000,fabia,2500,60,2009
opel,,,150000,astra,,,1995
ford,bus,blau,150000,galaxy,1500,116,2005
volkswagen,,,5000,golf,250,,1990
saab,cabrio,grau,150000,andere,,185,2005
ford,bus,weiss,150000,transit,6000,103,2013
audi,kombi,blau,150000,a6,1000,193,2005
bmw,limousine,grau,150000,x_reihe,20000,245,2010
opel,kombi,blau,150000,astra,1500,84,2005
opel,bus,schwarz,150000,zafira,1500,101,2000
fiat,bus,weiss,150000,ducato,2000,128,2005
mercedes_benz,limousine,schwarz,150000,s_klasse,22500,387,2010
mercedes_benz,kombi,silber,150000,c_klasse,2000,122,2005
audi,limousine,grau,150000,s7,25000,245,2013
sonstige_autos,,,150000,,,,2000
fiat,andere,blau,10000,andere,9000,33,1990
sonstige_autos,limousine,schwarz,40000,,20000,150,2015
volkswagen,kleinwagen,,150000,golf,1500,10,2005
audi,limousine,grau,150000,a6,2000,136,2000
renault,bus,weiss,150000,kangoo,3000,68,2007
mitsubishi,limousine,weiss,150000,colt,3500,75,2011
volkswagen,limousine,grau,150000,golf,3500,80,2007
ford,kombi,braun,125000,focus,10000,150,2011
fiat,kleinwagen,grau,150000,punto,1000,60,2000
bmw,limousine,,30000,5er,7000,,2009
bmw,kombi,schwarz,150000,5er,9000,218,2005
volkswagen,limousine,blau,90000,golf,10000,125,2011
volkswagen,limousine,gruen,150000,polo,50,,2005
audi,limousine,blau,150000,a3,3000,105,2008
volkswagen,limousine,silber,150000,golf,3500,116,2006
volkswagen,,blau,150000,golf,6000,140,2008
skoda,limousine,schwarz,150000,octavia,6000,122,2009
renault,andere,grau,150000,megane,500,95,2005
volkswagen,bus,grau,150000,touran,4500,140,2007
volkswagen,suv,silber,150000,touran,4000,140,2005
opel,kombi,schwarz,150000,insignia,12000,160,2011
mercedes_benz,kombi,schwarz,150000,e_klasse,8000,190,2008
bmw,kombi,gruen,150000,5er,4000,170,2000
bmw,bus,weiss,60000,2er,27500,190,2015
chevrolet,suv,grau,150000,captiva,5000,150,2007
renault,kleinwagen,,150000,megane,2500,,2005
bmw,limousine,,125000,3er,2000,118,2000
volkswagen,kleinwagen,schwarz,125000,polo,1000,54,2005
volkswagen,kombi,blau,90000,golf,6000,102,2005
ford,kombi,schwarz,150000,focus,1500,109,2008
volkswagen,bus,weiss,150000,caddy,8000,102,2012
mazda,suv,schwarz,150000,cx_reihe,9000,175,2009
volkswagen,andere,silber,125000,caddy,8000,102,2013
bmw,suv,weiss,150000,x_reihe,15000,220,2011
volkswagen,bus,weiss,90000,caddy,8000,102,2014
bmw,cabrio,schwarz,150000,3er,4500,150,1995
bmw,cabrio,silber,150000,z_reihe,6000,170,2005
sonstige_autos,kombi,blau,150000,,3000,140,2007
mercedes_benz,limousine,silber,150000,a_klasse,500,102,2000
peugeot,kleinwagen,schwarz,150000,2_reihe,2000,88,2006
mercedes_benz,kombi,schwarz,125000,c_klasse,27500,231,2013
volkswagen,kleinwagen,silber,150000,golf,500,75,2000
smart,kleinwagen,schwarz,150000,forfour,1500,75,2005
volkswagen,,schwarz,150000,passat,8000,,2011
opel,limousine,blau,150000,astra,7000,165,2012
mazda,suv,schwarz,150000,cx_reihe,7000,173,2011
volkswagen,kleinwagen,rot,150000,lupo,100,50,2000
volkswagen,bus,gelb,150000,transporter,22500,151,2000
audi,cabrio,schwarz,150000,tt,6000,179,2005
smart,kleinwagen,silber,150000,fortwo,2500,41,2005
volkswagen,kleinwagen,blau,150000,polo,1500,54,1995
volkswagen,kleinwagen,,100000,lupo,2000,60,2005
audi,limousine,schwarz,125000,a4,25000,190,2015
chevrolet,suv,grau,150000,captiva,7000,136,2008
mercedes_benz,limousine,schwarz,150000,c_klasse,1500,122,2000
toyota,limousine,silber,125000,prius,9000,99,2010
mercedes_benz,kombi,schwarz,125000,c_klasse,27500,231,2013
ford,kombi,gruen,150000,focus,,110,2005
audi,kombi,schwarz,150000,a6,1500,155,2005
skoda,limousine,weiss,50000,rapid,8000,90,2015
volkswagen,limousine,silber,90000,golf,8000,122,2011
nissan,limousine,,150000,primera,1000,,2005
volvo,limousine,blau,150000,s40,7000,106,2005
opel,kombi,silber,150000,vectra,1000,101,2000
volkswagen,limousine,schwarz,150000,golf,1000,90,2000
renault,kleinwagen,blau,125000,clio,3000,58,2008
bmw,limousine,schwarz,150000,7er,17500,326,2009
volkswagen,limousine,,150000,golf,1500,75,2000
bmw,limousine,blau,150000,5er,7000,170,2005
audi,coupe,,150000,a5,13000,190,2009
hyundai,suv,grau,5000,kona,27500,177,2015
opel,limousine,gold,90000,andere,,75,1990
renault,,silber,125000,modus,3000,75,2006
volkswagen,limousine,,150000,transporter,1000,90,2000
dacia,kleinwagen,grau,125000,sandero,5000,84,2012
renault,kleinwagen,schwarz,90000,clio,5000,101,2007
bmw,kombi,schwarz,150000,5er,12000,184,2011
bmw,kombi,grau,150000,3er,11000,245,2009
mercedes_benz,limousine,silber,100000,a_klasse,3000,102,2005
mercedes_benz,limousine,schwarz,80000,c_klasse,13000,170,2011
seat,,grau,150000,ibiza,2000,60,2005
skoda,kombi,silber,70000,andere,3500,75,2006
renault,,,150000,laguna,1000,,2000
volkswagen,kombi,blau,150000,golf,1500,101,2005
audi,limousine,silber,150000,a4,,101,2000
audi,limousine,blau,150000,a3,3000,136,2005
volvo,kombi,schwarz,150000,v40,2500,122,2005
audi,kombi,schwarz,150000,a4,6000,170,2008
bmw,coupe,weiss,5000,3er,20000,650,2000
volvo,kombi,schwarz,150000,v40,2500,122,2005
ford,,rot,150000,c_max,4500,,2007
volkswagen,limousine,rot,125000,golf,1500,60,2000
ford,limousine,silber,150000,focus,3500,90,2008
opel,kleinwagen,weiss,150000,corsa,4000,69,2013
volkswagen,limousine,blau,150000,golf,3000,116,2000
volkswagen,kleinwagen,silber,80000,up,5000,60,2013
suzuki,kleinwagen,blau,90000,alto,1000,54,2000
sonstige_autos,limousine,,5000,,5000,120,2009
bmw,limousine,schwarz,125000,3er,7000,129,2006
alfa_romeo,cabrio,schwarz,125000,spider,14000,185,2009
bmw,limousine,blau,150000,7er,20000,224,2011
audi,limousine,schwarz,150000,a4,17500,177,2013
toyota,limousine,silber,100000,auris,6000,97,2007
bmw,limousine,blau,150000,5er,10000,272,2007
volkswagen,limousine,blau,125000,golf,10000,160,2010
audi,kombi,grau,150000,a4,4500,163,2005
bmw,kombi,,150000,3er,1500,170,2000
renault,kombi,blau,150000,laguna,2000,150,2006
volkswagen,limousine,,125000,golf,9000,140,2008
fiat,,,80000,punto,3000,75,2008
volkswagen,kleinwagen,silber,125000,polo,1500,60,2000
kia,kleinwagen,weiss,70000,rio,11000,90,2015
volkswagen,kleinwagen,,125000,golf,,90,1990
ford,bus,rot,125000,transit,8000,101,2013
bmw,cabrio,violet,150000,3er,2500,150,2000
smart,coupe,rot,50000,fortwo,3500,61,2009
mercedes_benz,limousine,gruen,150000,s_klasse,3000,224,2000
bmw,limousine,blau,150000,3er,4000,143,2005
opel,kleinwagen,blau,150000,corsa,1000,75,2005
bmw,,,150000,3er,2000,120,2000
audi,suv,schwarz,150000,q5,17500,170,2010
fiat,kleinwagen,schwarz,125000,punto,1000,60,2005
ford,limousine,weiss,150000,focus,6000,95,2013
peugeot,cabrio,,150000,2_reihe,3000,150,2008
volkswagen,limousine,blau,150000,golf,2000,75,1985
mercedes_benz,,,100000,andere,7000,,1970
volkswagen,coupe,schwarz,150000,golf,2000,115,2005
volkswagen,bus,schwarz,150000,sharan,6000,140,2007
volkswagen,limousine,grau,150000,golf,1500,105,2000
skoda,kombi,schwarz,150000,octavia,14000,184,2015
mercedes_benz,limousine,silber,150000,a_klasse,1500,101,2005
audi,limousine,rot,150000,s6,10000,290,1995
mercedes_benz,kombi,violet,150000,e_klasse,5000,177,2005
ford,,,150000,focus,2000,,2007
mercedes_benz,limousine,,150000,e_klasse,20000,231,2010
audi,kombi,weiss,150000,a6,14000,204,2012
ford,kleinwagen,weiss,150000,fiesta,4000,60,2012
renault,kombi,silber,150000,laguna,1000,107,2005
volkswagen,,grau,150000,polo,1000,,2015
bmw,kombi,rot,150000,3er,4000,150,2000
bmw,kombi,weiss,150000,5er,17500,218,2012
volkswagen,limousine,grau,150000,passat,2500,116,2005
peugeot,,,125000,andere,1000,,2005
opel,kleinwagen,silber,125000,corsa,2000,80,2005
mitsubishi,bus,gruen,150000,space_reihe,2500,147,2005
bmw,limousine,schwarz,150000,1er,4000,116,2005
ford,suv,weiss,20000,ecosport,22500,125,2015
mercedes_benz,bus,weiss,150000,sprinter,2000,143,2000
volkswagen,kombi,blau,150000,passat,1000,116,1995
kia,suv,grau,150000,sportage,11000,116,2014
volkswagen,limousine,weiss,150000,polo,7000,86,2010
seat,kombi,silber,150000,arosa,500,50,2005
opel,kleinwagen,silber,150000,corsa,1000,58,2005
opel,limousine,silber,80000,corsa,2500,90,2005
bmw,limousine,silber,150000,5er,4500,231,2006
bmw,limousine,schwarz,150000,x_reihe,22500,245,2011
hyundai,suv,,150000,santa,5000,145,2006
ford,coupe,orange,5000,mustang,50000,311,2015
ford,cabrio,gelb,90000,andere,45000,345,1970
volkswagen,bus,grau,150000,touran,11000,105,2012
skoda,kombi,silber,150000,octavia,6000,105,2010
ford,kleinwagen,,150000,fiesta,500,60,2005
skoda,kombi,silber,150000,octavia,2000,140,2005
opel,bus,weiss,150000,andere,7000,114,2012
renault,cabrio,schwarz,150000,megane,2500,,2005
bmw,limousine,,150000,7er,11000,,2007
fiat,limousine,grau,150000,bravo,4000,120,2007
mercedes_benz,andere,rot,150000,sprinter,25000,88,2008
ford,limousine,,150000,c_max,1000,,2006
volkswagen,bus,blau,150000,touran,3000,116,2005
hyundai,coupe,rot,150000,getz,2000,67,2006
bmw,limousine,gruen,150000,3er,,105,2000
volkswagen,bus,silber,80000,transporter,30000,180,2014
fiat,cabrio,silber,100000,andere,6000,130,2005
sonstige_autos,,,125000,,2500,,2007
chevrolet,kleinwagen,blau,80000,matiz,1500,67,2006
bmw,limousine,schwarz,150000,3er,4000,116,2005
ford,suv,orange,90000,andere,10000,156,2008
volkswagen,kombi,schwarz,150000,passat,4000,179,2005
kia,,grau,70000,sportage,11000,135,2012
bmw,limousine,schwarz,150000,7er,8000,,2006
hyundai,kombi,schwarz,70000,i_reihe,9000,99,2012
renault,kombi,weiss,125000,megane,9000,179,2010
toyota,limousine,silber,125000,avensis,7000,126,2010
opel,kleinwagen,blau,90000,corsa,3000,60,2010
volkswagen,limousine,rot,150000,golf,13000,184,2013
volkswagen,kleinwagen,silber,150000,golf,1500,101,2000
volkswagen,limousine,,150000,polo,1000,,2000
porsche,cabrio,weiss,10000,boxster,90000,366,2015
volkswagen,bus,grau,150000,touran,6000,109,2006
toyota,kombi,grau,150000,avensis,2500,129,2006
ford,kombi,silber,150000,mondeo,1000,90,2005
audi,suv,grau,150000,q7,15000,370,2006
audi,kombi,weiss,40000,andere,45000,367,2015
ford,kombi,grau,150000,focus,2500,116,2007
opel,bus,blau,150000,zafira,1000,125,2005
mercedes_benz,kombi,gold,150000,c_klasse,1500,122,2005
ford,bus,blau,150000,c_max,2000,101,2006
opel,limousine,rot,125000,corsa,2500,90,2005
ford,kleinwagen,,150000,fiesta,500,60,2000
fiat,kleinwagen,blau,100000,500,1000,74,2005
renault,kleinwagen,gruen,150000,scenic,1000,95,2005
volkswagen,kombi,blau,150000,golf,1500,131,2005
opel,,blau,125000,astra,7000,120,2011
ford,coupe,silber,150000,cougar,2000,170,2000
ford,,,150000,focus,3500,,2012
bmw,limousine,schwarz,150000,7er,15000,367,2006
audi,coupe,schwarz,50000,a5,35000,177,2015
ford,bus,schwarz,150000,galaxy,1000,131,2005
peugeot,kleinwagen,blau,150000,3_reihe,1500,109,2007
volkswagen,coupe,blau,125000,beetle,2000,115,2000
citroen,,,150000,andere,1500,102,2005
volkswagen,limousine,schwarz,150000,polo,2500,80,2005
volkswagen,andere,silber,150000,golf,4000,80,2006
seat,kleinwagen,blau,90000,marbella,1500,34,2000
volkswagen,limousine,schwarz,150000,touran,12000,105,2012
sonstige_autos,,,150000,,1000,,2005
mercedes_benz,kombi,silber,150000,e_klasse,2000,170,2000
mercedes_benz,coupe,silber,150000,clk,3000,136,2000
mercedes_benz,bus,weiss,5000,sprinter,45000,190,2015
land_rover,suv,weiss,90000,range_rover_evoque,20000,150,2012
volvo,limousine,blau,125000,s80,25000,181,2015
opel,kombi,grau,20000,insignia,35000,209,2015
audi,suv,schwarz,50000,q7,55000,272,2015
mercedes_benz,suv,schwarz,30000,andere,45000,211,2015
seat,kleinwagen,schwarz,20000,mii,8000,60,2015
audi,suv,grau,100000,q7,40000,245,2015
volvo,suv,blau,70000,xc_reihe,30000,190,2015
mercedes_benz,kombi,grau,40000,e_klasse,50000,194,2015
kia,limousine,schwarz,70000,rio,9000,109,2014
peugeot,,,30000,4_reihe,3000,101,2006
fiat,bus,weiss,150000,doblo,4000,90,2012
hyundai,limousine,silber,150000,i_reihe,7000,110,2013
honda,andere,,150000,civic,1000,125,1995
audi,andere,grau,80000,a3,17500,110,2015
volkswagen,,,150000,golf,90000,,2008
audi,,,150000,a3,2000,108,2015
citroen,kleinwagen,,150000,c1,1000,,2006
