brand,car_type,color,mileage,model,price,ps,year_of_registration
ford,kombi,schwarz,150000,mondeo,7000,145,2009
volkswagen,limousine,grau,125000,passat,8000,122,2009
volkswagen,suv,blau,150000,touran,2000,143,2006
land_rover,suv,schwarz,20000,range_rover,90000,340,2015
land_rover,suv,grau,50000,range_rover,70000,340,2015
audi,kombi,schwarz,90000,a6,27500,313,2012
sonstige_autos,,,150000,,1000,,2000
volkswagen,,,5000,golf,50,,2000
audi,kombi,schwarz,150000,a6,12000,204,2012
renault,bus,rot,150000,megane,1000,16,2005
mercedes_benz,suv,silber,150000,m_klasse,6000,163,2005
kia,bus,silber,150000,carens,2000,113,2005
ford,coupe,schwarz,30000,mustang,50000,450,2015
renault,kleinwagen,rot,125000,clio,3500,75,2008
opel,kleinwagen,grau,150000,corsa,3000,60,2008
fiat,bus,weiss,150000,doblo,5000,90,2013
audi,limousine,gruen,125000,a3,,,2005
volkswagen,limousine,grau,150000,golf,9000,230,2007
bmw,,,40000,3er,5000,,2015
volkswagen,limousine,silber,150000,golf,1000,75,2000
bmw,kombi,blau,150000,3er,2500,150,2005
audi,,,150000,a6,3000,,2006
seat,kleinwagen,,80000,ibiza,7000,69,2009
bmw,limousine,silber,150000,x_reihe,3500,177,2007
mini,kleinwagen,schwarz,60000,one,13000,98,2013
ford,bus,silber,150000,galaxy,5000,140,2010
seat,kleinwagen,blau,150000,ibiza,2000,86,2007
smart,kleinwagen,rot,80000,fortwo,2000,54,2005
renault,kleinwagen,blau,150000,twingo,1000,58,2000
sonstige_autos,,,5000,,500,,1960
bmw,kombi,schwarz,150000,5er,3000,231,2005
bmw,coupe,rot,150000,3er,3000,150,1995
volkswagen,,schwarz,150000,touran,5000,105,2005
ford,coupe,blau,40000,mustang,5000,,2000
mercedes_benz,limousine,schwarz,150000,e_klasse,8000,190,2008
volkswagen,bus,grau,150000,transporter,12000,78,1985
volkswagen,kleinwagen,blau,150000,golf,1500,101,2000
volkswagen,cabrio,,150000,golf,6000,75,1995
nissan,kleinwagen,silber,150000,micra,1500,603,2005
mercedes_benz,limousine,,150000,e_klasse,4500,177,2005
bmw,limousine,schwarz,150000,5er,12000,306,2009
volkswagen,,,20000,lupo,50,,2005
kia,kleinwagen,silber,80000,picanto,5000,69,2012
bmw,,schwarz,150000,x_reihe,7000,218,2006
mercedes_benz,limousine,schwarz,60000,c_klasse,40000,367,2015
fiat,limousine,blau,125000,punto,1500,60,2005
volkswagen,limousine,schwarz,150000,polo,4000,60,2011
suzuki,suv,,150000,jimny,,,2005
mercedes_benz,limousine,silber,150000,a_klasse,1000,102,2005
seat,kleinwagen,weiss,30000,mii,8000,75,2015
ford,bus,silber,150000,c_max,2000,109,2005
mercedes_benz,bus,silber,90000,b_klasse,7000,116,2006
skoda,kombi,weiss,10000,fabia,9000,95,2015
bmw,,,5000,3er,1500,,2000
bmw,kombi,grau,150000,3er,4000,170,2000
seat,limousine,grau,150000,leon,7000,170,2011
nissan,,,150000,almera,500,,2000
bmw,limousine,braun,125000,1er,7000,122,2009
alfa_romeo,,silber,125000,andere,3500,120,2006
