brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
volkswagen,kombi,blau,diesel,manuell,150000,passat,1500,105,2005
audi,limousine,silber,benzin,automatik,150000,a3,7000,105,2006
renault,kleinwagen,schwarz,benzin,manuell,150000,clio,2500,75,2007
audi,limousine,grau,diesel,automatik,150000,a5,22500,190,2015
opel,kleinwagen,blau,benzin,manuell,125000,corsa,2000,75,2005
kia,suv,weiss,benzin,manuell,90000,sportage,12000,135,2014
renault,kleinwagen,andere,benzin,automatik,150000,twingo,2000,60,2000
volkswagen,suv,schwarz,benzin,manuell,20000,tiguan,35000,150,2015
audi,cabrio,weiss,diesel,manuell,30000,a3,27500,150,2015
seat,kleinwagen,silber,benzin,manuell,150000,arosa,1000,50,2005
volkswagen,kombi,schwarz,diesel,automatik,150000,golf,8000,170,2011
peugeot,bus,silber,benzin,manuell,150000,8_reihe,3500,132,2000
volkswagen,bus,silber,diesel,automatik,150000,touran,9000,105,2014
audi,limousine,schwarz,benzin,automatik,90000,a4,17500,211,2012
volvo,kombi,blau,diesel,manuell,150000,v50,1000,136,2005
volkswagen,kombi,blau,diesel,manuell,60000,golf,15000,110,2015
opel,kombi,silber,benzin,manuell,150000,astra,5000,140,2008
volkswagen,suv,schwarz,diesel,manuell,150000,tiguan,15000,140,2012
mercedes_benz,suv,schwarz,diesel,automatik,100000,glk,17500,170,2010
mercedes_benz,limousine,rot,benzin,automatik,150000,andere,50,122,1995
volkswagen,kleinwagen,grau,benzin,manuell,125000,kaefer,12000,30,1960
bmw,cabrio,weiss,benzin,automatik,5000,z_reihe,250,340,2015
mini,kleinwagen,blau,benzin,manuell,150000,one,3500,90,2005
bmw,cabrio,blau,benzin,automatik,125000,3er,3000,150,1995
toyota,kombi,gold,benzin,automatik,90000,avensis,4500,129,2005
skoda,kombi,silber,benzin,manuell,150000,fabia,1500,75,2005
volvo,kombi,schwarz,benzin,manuell,150000,v40,1000,109,2005
ford,kombi,schwarz,benzin,manuell,90000,focus,6000,125,2009
volkswagen,kombi,blau,diesel,manuell,150000,golf,1000,101,2005
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,polo,2500,75,2005
ford,kleinwagen,schwarz,benzin,manuell,150000,fiesta,1500,69,2005
mercedes_benz,kombi,silber,diesel,manuell,150000,c_klasse,4500,150,2006
bmw,kombi,grau,diesel,automatik,150000,3er,11000,245,2009
renault,cabrio,schwarz,benzin,manuell,100000,megane,10000,179,2011
audi,limousine,silber,benzin,automatik,150000,a4,1500,131,2005
chrysler,bus,rot,benzin,automatik,150000,grand,13000,287,2012
hyundai,kleinwagen,gold,benzin,manuell,20000,i_reihe,5000,67,2009
volkswagen,limousine,weiss,benzin,automatik,60000,golf,25000,230,2015
peugeot,kombi,silber,diesel,manuell,150000,3_reihe,1000,107,2005
mercedes_benz,kombi,silber,benzin,manuell,150000,andere,6000,132,1995
volkswagen,coupe,blau,benzin,manuell,150000,andere,1500,116,2000
volkswagen,limousine,grau,benzin,manuell,150000,passat,2500,116,2005
mercedes_benz,suv,schwarz,benzin,automatik,70000,glk,17500,231,2008
audi,limousine,schwarz,benzin,manuell,125000,a6,9000,256,2005
volkswagen,kleinwagen,beige,benzin,automatik,150000,golf,1500,75,1990
mercedes_benz,coupe,blau,benzin,automatik,150000,clk,1000,156,2000
volkswagen,kleinwagen,grau,benzin,manuell,150000,polo,1000,55,2005
volkswagen,bus,grau,diesel,automatik,50000,transporter,27500,140,2013
volkswagen,cabrio,schwarz,benzin,manuell,150000,golf,2000,101,2000
mini,kleinwagen,schwarz,benzin,manuell,70000,cooper,8000,75,2012
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,golf,3000,90,1995
audi,kombi,schwarz,diesel,automatik,150000,a6,1500,155,2005
skoda,kleinwagen,silber,benzin,manuell,150000,fabia,2000,100,2005
volkswagen,bus,weiss,diesel,automatik,60000,golf,17500,150,2015
peugeot,kleinwagen,blau,benzin,manuell,150000,2_reihe,1500,75,2005
mercedes_benz,kleinwagen,gold,benzin,manuell,90000,b_klasse,6000,116,2007
volkswagen,limousine,schwarz,diesel,manuell,150000,golf,1000,101,2005
opel,suv,schwarz,benzin,manuell,30000,andere,15000,140,2015
volkswagen,limousine,silber,diesel,manuell,125000,golf,6000,105,2008
audi,kombi,blau,diesel,automatik,150000,a4,11000,245,2012
volkswagen,kombi,grau,diesel,automatik,150000,passat,1000,150,2005
peugeot,kleinwagen,blau,benzin,manuell,150000,2_reihe,1000,60,2005
volkswagen,bus,schwarz,diesel,manuell,150000,touran,2500,105,2005
mercedes_benz,limousine,blau,benzin,manuell,150000,c_klasse,3000,129,2000
bmw,limousine,schwarz,diesel,manuell,150000,3er,7000,116,2010
