brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
mercedes_benz,limousine,gold,benzin,automatik,100000,e_klasse,5000,220,1995
bmw,limousine,silber,benzin,automatik,150000,3er,9000,218,2008
smart,coupe,weiss,benzin,automatik,90000,fortwo,4500,71,2012
volkswagen,kombi,weiss,benzin,manuell,150000,passat,1000,100,2000
bmw,limousine,schwarz,diesel,automatik,150000,7er,13000,330,2007
ford,cabrio,,benzin,manuell,150000,escort,1500,,1995
bmw,coupe,grau,benzin,automatik,125000,3er,17500,,1990
opel,bus,silber,benzin,manuell,50000,meriva,5000,105,2009
mercedes_benz,coupe,silber,benzin,automatik,150000,clk,8000,306,2005
alfa_romeo,coupe,rot,benzin,manuell,125000,andere,1000,150,2000
mercedes_benz,coupe,silber,diesel,automatik,150000,e_klasse,17500,265,2011
opel,bus,blau,benzin,automatik,150000,zafira,3000,,2005
audi,,,,,5000,a4,50,,2005
volkswagen,limousine,blau,benzin,manuell,150000,golf,500,75,2000
audi,kombi,grau,diesel,manuell,150000,a4,8000,190,2010
volkswagen,bus,gruen,diesel,manuell,150000,transporter,6000,102,2000
volkswagen,,schwarz,benzin,manuell,150000,golf,3000,,2005
opel,limousine,,benzin,manuell,150000,vectra,500,90,2000
ford,kleinwagen,schwarz,benzin,manuell,150000,fiesta,2000,60,2006
renault,kombi,weiss,diesel,automatik,150000,laguna,4000,150,2008
renault,kleinwagen,rot,benzin,manuell,100000,twingo,3000,75,2009
opel,bus,silber,benzin,manuell,150000,zafira,1500,101,2000
mercedes_benz,coupe,braun,benzin,automatik,150000,e_klasse,2500,130,1990
peugeot,kleinwagen,rot,benzin,manuell,125000,2_reihe,1500,45,2000
volkswagen,cabrio,blau,benzin,manuell,125000,golf,4000,116,2005
volkswagen,,,diesel,automatik,150000,golf,1000,101,2005
sonstige_autos,,,,,5000,,13000,,1970
volkswagen,limousine,grau,diesel,manuell,150000,golf,8000,150,2015
mercedes_benz,,,,,5000,andere,12000,,1970
bmw,coupe,gruen,benzin,manuell,150000,3er,3000,105,1995
nissan,suv,gruen,diesel,manuell,150000,x_trail,,114,2005
audi,kombi,silber,diesel,automatik,150000,a4,13000,143,2012
dacia,suv,weiss,diesel,manuell,150000,duster,6000,107,2010
volkswagen,,schwarz,benzin,manuell,150000,golf,,101,2000
audi,limousine,grau,diesel,automatik,125000,a6,9000,233,2008
seat,kleinwagen,,benzin,manuell,60000,ibiza,9000,105,2014
audi,limousine,weiss,benzin,automatik,150000,80,2500,116,1995
audi,,schwarz,diesel,manuell,150000,a3,3000,105,2005
opel,limousine,gold,benzin,manuell,30000,kadett,4000,,1990
renault,kombi,silber,benzin,manuell,150000,kangoo,3000,76,2007
ford,kombi,grau,diesel,manuell,125000,focus,11000,120,2015
ford,limousine,blau,benzin,manuell,150000,focus,1500,101,2005
audi,limousine,,diesel,automatik,150000,a8,20000,232,2008
hyundai,limousine,grau,benzin,manuell,150000,i_reihe,3000,109,2009
opel,bus,silber,diesel,manuell,125000,zafira,13000,165,2014
volkswagen,bus,,,,150000,transporter,10000,,2008
bmw,suv,grau,diesel,automatik,80000,x_reihe,25000,245,2013
ford,kombi,silber,diesel,manuell,150000,mondeo,10000,150,2015
lada,limousine,,benzin,manuell,60000,andere,2000,60,1980
volkswagen,andere,weiss,diesel,manuell,100000,caddy,5000,105,2009
renault,limousine,weiss,benzin,manuell,5000,clio,12000,90,2015
audi,kombi,schwarz,benzin,manuell,150000,a6,3500,170,2005
renault,bus,schwarz,benzin,manuell,150000,scenic,1500,107,2005
volkswagen,limousine,grau,benzin,manuell,125000,kaefer,70000,25,1960
audi,kombi,schwarz,diesel,automatik,150000,a6,4000,232,2008
audi,kombi,rot,benzin,automatik,150000,a4,10000,211,2009
volkswagen,cabrio,silber,diesel,manuell,150000,eos,6000,140,2008
nissan,suv,weiss,benzin,manuell,125000,juke,8000,,2011
bmw,coupe,schwarz,benzin,automatik,80000,6er,40000,530,2013
bmw,,,,,150000,3er,250,,2010
jaguar,,,,,150000,x_type,6000,,1990
ford,limousine,,benzin,manuell,150000,focus,250,116,2000
sonstige_autos,,,,,5000,,12000,,2000
volkswagen,kombi,blau,diesel,manuell,150000,passat,4500,140,2007
fiat,kleinwagen,,benzin,manuell,150000,punto,1000,60,2005
volvo,kombi,schwarz,benzin,manuell,150000,v70,6000,140,2005
volkswagen,kleinwagen,silber,benzin,automatik,150000,golf,7000,160,2008
volkswagen,kleinwagen,blau,benzin,manuell,150000,polo,2000,57,2005
